algorithm,N,k,comparisons,time,entry_time
merge_sort,528815,22695,7532938,4.2966628074646,1654835303.9055166
merge_sort,420341,82,6224103,3.471987724304199,1654835307.494786
merge_sort,149156,92491,1887788,1.0716726779937744,1654835308.6535814
merge_sort,705085,1081180,10181781,5.694361448287964,1654835314.3999152
merge_sort,244071,22695,3320775,1.8895008563995361,1654835316.4345682
merge_sort,691526,12638482,9692669,5.510248184204102,1654835322.0015228
merge_sort,257630,4953535208,3341270,1.8826937675476074,1654835324.0399015
merge_sort,420341,73182422,5562086,3.366333246231079,1654835327.4647026
merge_sort,677966,1726983290,9607422,6.051104307174683,1654835333.6208072
merge_sort,67801,855467253,783087,0.549238920211792,1654835334.3478208
merge_sort,623729,423758716,8435415,5.822444915771484,1654835340.194621
merge_sort,67801,1536174,787568,0.551077127456665,1654835340.9018207
merge_sort,447459,166,7064410,4.744396448135376,1654835345.6732814
merge_sort,325426,7038135554,4200648,2.93520450592041,1654835348.7328928
merge_sort,718644,131414,10154042,6.9736363887786865,1654835355.8053248
merge_sort,786440,28,12659005,10.272393941879272,1654835366.268004
merge_sort,406782,5568,5844259,5.011693239212036,1654835371.6108634
merge_sort,379663,6260516,5240670,4.064168930053711,1654835375.8007696
merge_sort,108478,32245,1282736,1.0286600589752197,1654835376.9347653
merge_sort,596611,1081180,8199593,6.405789613723755,1654835383.3899372
merge_sort,461019,5568,6781850,5.117755651473999,1654835388.6823666
merge_sort,705085,423758716,9862931,7.5625529289245605,1654835396.3869843
merge_sort,284748,166,4300010,3.2604498863220215,1654835399.846066
merge_sort,677966,265294,9740661,7.5891499519348145,1654835407.5289152
merge_sort,610170,376939,8499733,6.693282842636108,1654835414.4278717
merge_sort,393222,1536174,5302914,4.114175319671631,1654835418.7179627
merge_sort,203393,116,3001690,2.3373987674713135,1654835421.173412
merge_sort,81360,51506780,944257,0.7674343585968018,1654835421.9979374
merge_sort,528815,423758716,7074432,5.462149143218994,1654835427.4862866
merge_sort,488137,73182422,6464756,5.070030927658081,1654835432.7175071
merge_sort,596611,3919,8946598,6.787209510803223,1654835439.654281
merge_sort,5,376939,8,2.3603439331054688e-05,1654835439.829897
merge_sort,637289,51506780,8964327,6.9985997676849365,1654835446.8375688
merge_sort,610170,57,10123288,7.635710716247559,1654835454.65159
merge_sort,94919,335,1269157,0.9556820392608643,1654835455.7846158
merge_sort,325426,961,4801561,3.6481058597564697,1654835459.4655478
merge_sort,379663,28,6127483,4.646106243133545,1654835464.2038023
merge_sort,745763,14,12800182,9.59985089302063,1654835473.9302988
merge_sort,162715,1941,2194293,1.6749229431152344,1654835475.835478
merge_sort,13564,3919,138716,0.11103296279907227,1654835475.9990456
merge_sort,379663,423758716,4965359,3.912166118621826,1654835479.919874
merge_sort,108478,3101168,1322878,1.1239805221557617,1654835481.1745806
merge_sort,176275,40,2634776,2.076385259628296,1654835483.2836018
merge_sort,528815,51506780,7214114,5.668830633163452,1654835489.0101545
merge_sort,257630,10,3927011,3.1518712043762207,1654835492.3424814
merge_sort,230512,7038135554,2940165,2.310884714126587,1654835494.7320633
merge_sort,759322,376939,10603873,8.21520733833313,1654835503.023708
merge_sort,420341,65096,5817209,4.458310127258301,1654835507.6985795
merge_sort,447459,32245,6192800,4.756620407104492,1654835512.5726833
merge_sort,623729,12638482,8920591,6.834533929824829,1654835519.548328
merge_sort,244071,15973,3296622,2.5622501373291016,1654835522.2824628
merge_sort,81360,2453751106,930760,0.7444021701812744,1654835523.0978014
merge_sort,488137,20,8081492,6.041412115097046,1654835529.1701381
merge_sort,800000,3919,12290685,9.283155918121338,1654835538.6057365
merge_sort,596611,2453751106,8555260,6.582139492034912,1654835545.420488
merge_sort,271189,57,4173149,3.215939998626709,1654835548.8080225
merge_sort,216952,28,3306430,2.557537317276001,1654835551.4431088
