algorithm,N,k,comparisons,time,entry_time
radix_sort,759322,9500000,5315254,6.644199848175049,1654657298.6840677
radix_sort,81360,1400000,569520,0.7184321880340576,1654657299.5888896
radix_sort,623729,3000000,4366103,5.922719717025757,1654657305.537542
radix_sort,772881,1050000000,7728810,10.495368957519531,1654657316.2071633
radix_sort,515256,9500000,3606792,5.183695316314697,1654657321.5906644
radix_sort,528815,105000,3172890,4.2774658203125,1654657326.0003157
radix_sort,352545,140,1057635,1.4464728832244873,1654657327.582759
radix_sort,176275,95000000,1410200,1.9129879474639893,1654657329.584405
radix_sort,257630,14000,1288150,1.7412502765655518,1654657331.370294
radix_sort,555933,140,1667799,2.255803108215332,1654657333.7029796
radix_sort,311867,5000000000,3118670,4.259079933166504,1654657338.1075923
radix_sort,203393,50000,1016965,1.379361629486084,1654657339.5642564
radix_sort,203393,1400,813572,1.0629067420959473,1654657340.6825244
radix_sort,433900,1400000,3037300,4.144861459732056,1654657344.8830535
radix_sort,257630,1400000,1803410,2.4654414653778076,1654657347.4577067
radix_sort,338985,1400000000,3389850,4.554534435272217,1654657352.07954
radix_sort,176275,500000000,1586475,2.2201859951019287,1654657354.3824866
radix_sort,149156,140000,894936,1.1764411926269531,1654657355.6046324
radix_sort,772881,20,1545762,1.970167875289917,1654657357.6266387
radix_sort,325426,950,976278,1.3212945461273193,1654657359.151777
radix_sort,271189,800,813567,1.1125824451446533,1654657360.3454807
radix_sort,786440,300,2359320,3.217271089553833,1654657363.6441457
radix_sort,135597,2000,542388,0.7048053741455078,1654657364.543213
radix_sort,230512,5000,922048,1.2062551975250244,1654657365.786201
radix_sort,583052,8000,2332208,3.3139185905456543,1654657369.1624868
radix_sort,786440,80,1572880,2.019106864929199,1654657371.3391745
radix_sort,352545,105000,2115270,2.833577871322632,1654657374.3683207
radix_sort,406782,14,813564,1.020538091659546,1654657375.4766846
radix_sort,244071,200,732213,0.9865386486053467,1654657376.5638533
